massachusetts,57.61,0.42,23.83,0.35,18.11,0.68,583,134,60,273,77.8,28.6
mississippi,55.59,0.43,20.12,0.32,20.41,0.71,586,126,45,239,50,33.3
canisius,56.78,0.45,19.72,0.3,20.17,0.69,606,145,44,303,50,28.6
ohio,57.06,0.45,24.39,0.35,16.5,0.67,643,113,49,235,50,50
binghamton,61.06,0.42,28.67,0.34,13,0.72,650,82,60,169,50,100
missouri-kansas-city,57.4,0.45,19.8,0.36,16.75,0.67,637,154,62,306,NAN!,NAN!
mercer,59.42,0.45,20.53,0.36,16.11,0.72,686,138,50,261,50,50
campbell,56.33,0.45,23.39,0.33,14.33,0.74,557,149,48,298,50,33.3
north-carolina,62.65,0.4,19,0.29,21.53,0.65,745,104,70,199,11.1,40
radford,56.53,0.45,22.06,0.35,17.24,0.66,598,96,43,202,50,50
la-salle,57.71,0.42,23.65,0.34,18.41,0.68,617,130,64,252,50,66.7
american,57.88,0.45,20.82,0.35,15.88,0.68,538,128,52,230,50,50
north-dakota-state,57.05,0.44,26.63,0.35,16.95,0.78,675,101,44,208,57.1,44.4
lipscomb,58.58,0.44,22.89,0.33,16.47,0.68,653,105,48,272,50,66.7
ipfw,60.45,0.43,26.45,0.32,14,0.67,721,142,55,270,50,33.3
purdue,60.67,0.41,22.61,0.33,15.5,0.66,687,118,66,260,50,37.5
loyola-il,49.63,0.51,14.79,0.37,19.84,0.68,569,146,40,306,60,50
chattanooga,58.89,0.45,24.05,0.36,15.05,0.66,683,92,28,245,45.5,50
oklahoma-state,57.35,0.41,21.29,0.3,18.71,0.72,626,125,64,255,20,40
davidson,56.71,0.44,26,0.35,14.29,0.77,540,103,37,215,45.5,50
texas-pan-american,62.33,0.42,18.94,0.34,18.11,0.68,611,159,75,317,75,33.3
stony-brook,57.3,0.42,25.4,0.36,18.55,0.71,793,134,104,270,45.5,66.7
saint-josephs,63.67,0.38,31.56,0.3,18.17,0.69,686,86,55,188,44.4,42.9
central-florida,58.72,0.43,21.78,0.31,16.89,0.69,668,109,60,256,20,80
fresno-state,57.72,0.41,27.72,0.33,17.39,0.69,684,95,71,208,33.3,50
troy,61.2,0.41,25.7,0.33,16.7,0.67,734,122,57,318,44.4,50
new-mexico-state,56,0.45,26.5,0.35,16.6,0.7,715,134,39,301,50,33.3
arkansas-little-rock,53.1,0.46,16.5,0.33,21.4,0.69,738,140,66,291,77.8,63.6
temple,59.41,0.4,22.41,0.32,18.59,0.68,669,138,47,238,44.4,42.9
lamar,60.47,0.43,17.47,0.31,19.58,0.66,701,186,94,340,44.4,33.3
north-texas,53.42,0.47,22.68,0.38,14.58,0.73,641,132,50,279,44.4,30
boston-university,59.63,0.46,21.16,0.32,15.84,0.64,683,106,37,222,57.1,40
george-mason,57.61,0.42,20.17,0.32,19.11,0.71,670,118,95,242,50,25
robert-morris,59.78,0.44,24.22,0.37,13.78,0.65,607,117,28,275,66.7,54.5
army,57.06,0.47,22.88,0.32,14.65,0.57,572,94,23,214,44.4,42.9
south-carolina,60.59,0.43,18.29,0.31,20.35,0.61,638,133,75,264,40,83.3
texas-southern,61.06,0.4,18.88,0.28,22.65,0.72,636,99,47,261,66.7,53.8
brown,58.86,0.41,23.43,0.32,18.64,0.69,564,94,70,189,42.9,42.9
appalachian-state,55.95,0.42,21.25,0.3,22,0.66,732,152,53,292,14.3,66.7
south-carolina-upstate,58.89,0.42,21.83,0.31,18.89,0.69,605,113,45,261,83.3,50
portland,54.3,0.45,18.2,0.37,19.45,0.67,662,113,80,262,42.9,60
liberty,51.4,0.48,21,0.38,16.35,0.71,688,116,58,250,42.9,22.2
northwestern-state,58.81,0.43,23.25,0.34,18,0.73,623,89,77,210,20,66.7
south-carolina-state,55.75,0.44,17.88,0.32,21,0.79,561,74,24,184,80,40
drexel,56.55,0.44,21.35,0.36,17.75,0.7,739,123,65,254,40,37.5
northern-illinois,59.33,0.41,22.72,0.34,17.11,0.68,710,105,47,211,28.6,54.5
butler,52.83,0.47,19.67,0.36,16.67,0.72,635,86,46,226,40,28.6
charleston-southern,58.56,0.43,23.39,0.32,16.22,0.71,596,119,40,264,50,44.4
southern,59.89,0.42,18.33,0.32,15.22,0.67,624,113,51,237,40,40
elon,58.1,0.41,27.85,0.37,14.3,0.71,675,99,39,236,40,16.7
bucknell,57.37,0.42,23.05,0.34,17,0.74,622,134,66,264,40,66.7
st-bonaventure,58.44,0.43,20,0.34,14.44,0.76,659,109,71,245,80,33.3
nevada-las-vegas,56.95,0.43,22.9,0.32,20.85,0.72,786,119,62,251,NAN!,NAN!
vermont,57.42,0.43,25.16,0.31,16.63,0.71,708,113,68,240,40,66.7
