,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
111,alabama,92,Belmont,72,67,.507,32,.438,16,.625,40,4,4,13,40.00,72,.403,30,.233,9,.778,32,7,4,12,1
112,alabama,90,Richmond,78,66,.470,30,.400,21,.762,46,4,6,15,81.80,69,.391,24,.250,22,.818,33,9,2,10,0
113,Florida,104,alabama,98,76,.434,23,.348,36,.833,48,7,6,13,1,76,.408,34,.382,34,.676,41,7,2,12,40.00
114,Mississippi-State,69,alabama,90,69,.377,15,.267,21,.619,34,5,3,11,0,57,.491,24,.417,34,.706,39,3,6,10,81.80
115,Kentucky,76,alabama,67,63,.444,15,.600,17,.647,40,5,8,14,1,76,.368,21,.190,12,.583,36,3,6,8,40.00
116,alabama,83,Auburn,64,56,.429,21,.286,37,.784,38,7,3,15,81.80,63,.317,28,.250,30,.567,42,6,7,21,0
117,alabama,88,Missouri,74,56,.446,39,.333,30,.833,36,7,5,14,81.80,61,.311,20,.250,31,1.000,34,7,1,13,0
118,alabama,77,Vanderbilt,62,52,.462,29,.345,29,.655,49,5,7,24,40.00,65,.308,26,.192,20,.850,29,13,5,10,1
119,alabama,77,Kansas-State,74,43,.488,22,.364,37,.730,29,9,8,16,81.80,74,.351,29,.345,19,.632,41,5,2,12,0
120,LSU,90,alabama,76,67,.507,16,.188,20,.950,45,8,3,12,1,73,.411,38,.263,10,.600,30,3,5,9,40.00
121,citadel,76,UNC-Asheville,91,51,.529,15,.600,23,.565,23,6,3,20,81.80,58,.569,23,.478,20,.700,36,6,0,16,0
122,citadel,86,Georgia,95,61,.492,33,.424,18,.667,39,3,1,22,33.30,72,.458,29,.241,31,.710,34,13,3,8,1
123,Campbell,87,citadel,73,62,.548,26,.385,13,.692,31,11,2,13,0,57,.456,18,.111,29,.655,29,8,1,13,81.80
124,Southeast-Missouri-State,69,citadel,74,62,.435,21,.190,18,.611,34,8,3,19,1,59,.441,25,.440,15,.733,36,5,0,18,33.30
125,Illinois,85,citadel,57,68,.485,18,.167,21,.762,53,4,4,13,1,74,.284,38,.263,7,.714,27,8,2,11,33.30
126,citadel,79,Marist,75,59,.441,30,.467,14,.929,35,4,1,13,33.30,64,.453,34,.265,13,.615,28,5,3,9,1
127,Brevard,47,citadel,90,69,.246,31,.226,8,.750,31,14,2,23,0,73,.493,27,.259,20,.550,53,16,8,19,81.80
